a = 3402315.263323; b = 5050000.343311; cout = 4038649896607.652832
a = 3402316.715191; b = 5060000.443406; cout = 4039402736125.479492
a = 3402318.167060; b = 5070000.543501; cout = 4040356337993.682617
a = 3402319.618929; b = 5080000.643596; cout = 4041510702212.282715
a = 3402321.070797; b = 5090000.743692; cout = 4042865828781.236816
a = 3402322.522666; b = 5100000.843787; cout = 4044421717700.583984
a = 3402323.974535; b = 5110000.943882; cout = 4046178368970.301758
a = 3402325.426403; b = 5120001.043977; cout = 4048135782590.412109
a = 3402326.878272; b = 5130001.144072; cout = 4050293958560.892578
a = 3402328.330141; b = 5140001.244167; cout = 4052652896881.750488
a = 3402329.782009; b = 5150001.344262; cout = 4055212597552.997070
a = 3403316.218783; b = 5030000.288453; cout = 4019937616240.541504
a = 3403317.670651; b = 5040000.388548; cout = 4020580720272.539551
a = 3403319.122520; b = 5050000.488643; cout = 4021424586654.938965
a = 3403320.574389; b = 5060000.588738; cout = 4022469215387.706055
a = 3403322.026257; b = 5070000.688834; cout = 4023714606470.868164
a = 3403323.478126; b = 5080000.788929; cout = 4025160759904.402832
a = 3403324.929995; b = 5090000.889024; cout = 4026807675688.315918
a = 3403326.381863; b = 5100000.989119; cout = 4028655353822.620605
a = 3403327.833732; b = 5110001.089214; cout = 4030703794307.291504
a = 3403329.285601; b = 5120001.189309; cout = 4032952997142.360840
a = 3403330.737469; b = 5130001.289404; cout = 4035402962327.791992
a = 3403332.189338; b = 5140001.389499; cout = 4038053689863.612793
a = 3403333.641207; b = 5150001.489595; cout = 4040905179749.813965
a = 3403335.093075; b = 5160001.589690; cout = 4043957431986.396484
a = 3403336.544944; b = 5170001.689785; cout = 4047210446573.348633
a = 3403337.996813; b = 5180001.789880; cout = 4050664223510.706055
a = 3403339.448681; b = 5190001.889975; cout = 4054318762798.407715
a = 3404318.626112; b = 5020000.333690; cout = 4001969020801.653809
a = 3404320.077980; b = 5030000.433785; cout = 4002703151698.241699
a = 3404321.529849; b = 5040000.533880; cout = 4003638044945.209473
a = 3404322.981718; b = 5050000.633975; cout = 4004773700542.541504
a = 3404324.433586; b = 5060000.734071; cout = 4006110118490.266602
a = 3404325.885455; b = 5070000.834166; cout = 4007647298788.365234
a = 3404327.337324; b = 5080000.934261; cout = 4009385241436.873535
a = 3404328.789192; b = 5090001.034356; cout = 4011323946435.713379
