a = 3478458.778814; b = 4630003.893907; cout = 925927939750.363037
a = 3479459.734274; b = 4610003.839049; cout = 906513777134.663696
a = 3479461.186143; b = 4620003.939144; cout = 914284616873.327881
a = 3480459.237866; b = 4580003.684096; cout = 879849588998.511475
a = 3480460.689734; b = 4590003.784191; cout = 887309930900.986206
a = 3480462.141603; b = 4600003.884286; cout = 894971035153.840210
a = 3480463.593472; b = 4610003.984381; cout = 902832901757.074219
a = 3481458.741457; b = 4550003.529143; cout = 853815950566.374390
a = 3481460.193326; b = 4560003.629238; cout = 860965794632.654663
a = 3481461.645194; b = 4570003.729333; cout = 868316401049.323364
a = 3481463.097063; b = 4580003.829428; cout = 875867769816.367798
a = 3481464.548932; b = 4590003.929523; cout = 883619900933.794556
a = 3481466.000800; b = 4600004.029618; cout = 891572794401.598877
a = 3482458.245049; b = 4520003.374189; cout = 828412861838.251831
a = 3482459.696917; b = 4530003.474285; cout = 835252208068.348755
a = 3482461.148786; b = 4540003.574380; cout = 842292316648.817505
a = 3482462.600655; b = 4550003.674475; cout = 849533187579.676880
a = 3482464.052523; b = 4560003.774570; cout = 856974820860.917603
a = 3482465.504392; b = 4570003.874665; cout = 864617216492.530029
a = 3482466.956261; b = 4580003.974760; cout = 872460374474.526733
a = 3482468.408129; b = 4590004.074855; cout = 880504294806.905029
a = 3483537.684585; b = 4490006.181407; cout = 803232221370.981812
a = 3483459.200509; b = 4500003.319331; cout = 810169171208.064819
a = 3483460.652377; b = 4510003.419427; cout = 816898781952.344604
a = 3483462.104246; b = 4520003.519522; cout = 823829155047.009888
a = 3483463.556115; b = 4530003.619617; cout = 830960290492.058105
a = 3483465.007983; b = 4540003.719712; cout = 838292188287.485107
a = 3483466.459852; b = 4550003.819807; cout = 845824848433.287598
a = 3483467.911721; b = 4560003.919902; cout = 853558270929.473145
a = 3483469.363589; b = 4570004.019997; cout = 861492455776.039673
a = 3483470.815458; b = 4580004.120092; cout = 869627402972.989990
a = 3484458.704100; b = 4470003.164378; cout = 785716684051.786255
a = 3484460.155969; b = 4480003.264473; cout = 792135796959.878662
a = 3484461.607838; b = 4490003.364568; cout = 798755672218.350830
a = 3484463.059706; b = 4500003.464664; cout = 805576309827.204468
a = 3484464.511575; b = 4510003.564759; cout = 812597709786.437988
a = 3484465.963444; b = 4520003.664854; cout = 819819872096.064453
a = 3484467.415312; b = 4530003.764949; cout = 827242796756.060059
a = 3484468.867181; b = 4540003.865044; cout = 834866483766.436768
a = 3484470.319050; b = 4550003.965139; cout = 842690933127.193237
a = 3484471.770918; b = 4560004.065234; cout = 850716144838.333862
a = 3484473.222787; b = 4570004.165330; cout = 858942118899.857666
a = 3485458.207692; b = 4440003.009425; cout = 761894746599.528564
a = 3485459.659561; b = 4450003.109520; cout = 768003361671.430908
a = 3485461.111429; b = 4460003.209615; cout = 774312739093.720093
a = 3485462.563298; b = 4470003.309710; cout = 780822878866.376953
a = 3485464.015167; b = 4480003.409806; cout = 787533780989.426270
a = 3485465.467035; b = 4490003.509901; cout = 794445445462.850342
a = 3485466.918904; b = 4500003.609996; cout = 801557872286.663452
a = 3485468.370773; b = 4510003.710091; cout = 808871061460.848877
a = 3485469.822641; b = 4520003.810186; cout = 816385012985.417847
a = 3485471.274510; b = 4530003.910281; cout = 824099726860.364624
a = 3485472.726379; b = 4540004.010376; cout = 832015203085.694458
a = 3485474.178247; b = 4550004.110471; cout = 840131441661.410767
a = 3485475.630116; b = 4560004.210567; cout = 848448442587.500854
a = 3486459.163152; b = 4420002.954567; cout = 744501476086.989624
a = 3486460.615021; b = 4430003.054662; cout = 750500355673.095825
