a = 3538497.232133; b = 3299999.301186; cout = 134753753877.283524
a = 3538498.684002; b = 3309999.401281; cout = 133440289398.245071
a = 3538500.135871; b = 3319999.501376; cout = 132327587269.589737
a = 3538501.587739; b = 3329999.601472; cout = 131415647491.304230
a = 3538503.039608; b = 3339999.701567; cout = 130704470063.409698
a = 3538504.491477; b = 3349999.801662; cout = 130194054985.889786
a = 3538505.943345; b = 3359999.901757; cout = 129884402258.761520
a = 3538507.395214; b = 3370000.001852; cout = 129775511882.002747
a = 3538508.847083; b = 3380000.101947; cout = 129867383855.630508
a = 3538510.298951; b = 3390000.202042; cout = 130160018179.636520
a = 3538511.750820; b = 3400000.302137; cout = 130653414854.028397
a = 3538513.202689; b = 3410000.402233; cout = 131347573878.790802
a = 3538514.654557; b = 3420000.502328; cout = 132242495253.939911
a = 3538516.106426; b = 3430000.602423; cout = 133338178979.466553
a = 3538517.558295; b = 3440000.702518; cout = 134634625055.376511
a = 3539495.283856; b = 3259999.046138; cout = 132833822479.000397
a = 3539496.735725; b = 3269999.146233; cout = 131009097813.390427
a = 3539498.187593; b = 3279999.246328; cout = 129385135498.149261
a = 3539499.639462; b = 3289999.346423; cout = 127961935533.312088
a = 3539501.091331; b = 3299999.446518; cout = 126739497918.836884
a = 3539502.543199; b = 3309999.546613; cout = 125717822654.756424
a = 3539503.995068; b = 3319999.646709; cout = 124896909741.042725
a = 3539505.446937; b = 3329999.746804; cout = 124276759177.723175
a = 3539506.898805; b = 3339999.846899; cout = 123857370964.772202
a = 3539508.350674; b = 3349999.946994; cout = 123638745102.212601
a = 3539509.802543; b = 3360000.047089; cout = 123620881590.023163
a = 3539511.254411; b = 3370000.147184; cout = 123803780428.223938
a = 3539512.706280; b = 3380000.247279; cout = 124187441616.796478
a = 3539514.158149; b = 3390000.347375; cout = 124771865155.760071
a = 3539515.610017; b = 3400000.447470; cout = 125557051045.095734
a = 3539517.061886; b = 3410000.547565; cout = 126542999284.815048
a = 3539518.513755; b = 3420000.647660; cout = 127729709874.914780
a = 3539519.965623; b = 3430000.747755; cout = 129117182815.398026
a = 3539521.417492; b = 3440000.847850; cout = 130705418106.257538
a = 3539522.869361; b = 3450000.947945; cout = 132494415747.497070
a = 3539524.321229; b = 3460001.048040; cout = 134484175739.120926
a = 3540497.691185; b = 3249999.091375; cout = 125960531302.093781
a = 3540499.143054; b = 3259999.191470; cout = 124226833501.046982
a = 3540500.594922; b = 3269999.291565; cout = 122693898050.397308
a = 3540502.046791; b = 3279999.391660; cout = 121361724950.116043
a = 3540503.498660; b = 3289999.491755; cout = 120230314200.218903
a = 3540504.950528; b = 3299999.591851; cout = 119299665800.701736
a = 3540506.402397; b = 3309999.691946; cout = 118569779751.556610
a = 3540507.854266; b = 3319999.792041; cout = 118040656052.809174
a = 3540509.306134; b = 3329999.892136; cout = 117712294704.434921
a = 3540510.758003; b = 3339999.992231; cout = 117584695706.444138
