a = 3531408.455138; b = 3373627.713062; cout = 187666254558.831879
a = 3531409.887321; b = 3383492.223211; cout = 185791796915.750214
a = 3531411.319504; b = 3393356.733360; cout = 184112694314.972321
a = 3531412.751687; b = 3403221.243510; cout = 182628946756.513367
a = 3531414.183870; b = 3413085.753659; cout = 181340554240.380005
a = 3531415.616052; b = 3422950.263809; cout = 180247516766.572601
a = 3531417.048235; b = 3432814.773958; cout = 179349834335.058563
a = 3531418.480418; b = 3442679.284107; cout = 178647506945.875122
a = 3531419.912601; b = 3452543.794257; cout = 178140534599.006439
a = 3531421.344784; b = 3462408.304406; cout = 177828917294.462433
a = 3531422.776967; b = 3472272.814555; cout = 177712655032.234955
a = 3531424.209150; b = 3482137.324705; cout = 177791747812.326691
a = 3531425.641333; b = 3492001.834854; cout = 178066195634.730347
a = 3531427.073516; b = 3501866.345004; cout = 178535998499.454681
a = 3531428.505699; b = 3511730.855153; cout = 179201156406.489258
a = 3531429.937882; b = 3521595.365302; cout = 180061669355.853363
a = 3531431.370065; b = 3531459.875452; cout = 181117537347.531860
a = 3531432.802248; b = 3541324.385601; cout = 182368760381.529999
a = 3531434.234431; b = 3551188.895750; cout = 183815338457.839569
a = 3531435.666614; b = 3561053.405900; cout = 185457271576.474243
a = 3531437.098797; b = 3570917.916049; cout = 187294559737.425293
a = 3531438.530980; b = 3580782.426199; cout = 189327202940.692444
a = 3531439.963163; b = 3590646.936348; cout = 191555201186.278992
a = 3541282.414402; b = 3245390.513303; cout = 120160251667.709732
a = 3541283.846585; b = 3255255.023452; cout = 118582641179.392288
a = 3541285.278768; b = 3265119.533602; cout = 117200385733.389297
a = 3541286.710951; b = 3274984.043751; cout = 116013485329.708359
a = 3541288.143134; b = 3284848.553900; cout = 115021939968.347809
a = 3541289.575317; b = 3294713.064050; cout = 114225749649.306183
a = 3541291.007500; b = 3304577.574199; cout = 113624914372.575470
a = 3541292.439683; b = 3314442.084348; cout = 113219434138.169113
a = 3541293.871866; b = 3324306.594498; cout = 113009308946.070831
a = 3541295.304049; b = 3334171.104647; cout = 112994538796.300491
a = 3541296.736232; b = 3344035.614797; cout = 113175123688.845444
a = 3541298.168415; b = 3353900.124946; cout = 113551063623.709610
a = 3541299.600598; b = 3363764.635095; cout = 114122358600.886230
a = 3541301.032781; b = 3373629.145245; cout = 114889008620.386719
a = 3541302.464964; b = 3383493.655394; cout = 115851013682.202927
a = 3541303.897147; b = 3393358.165543; cout = 117008373786.337311
a = 3541305.329330; b = 3403222.675693; cout = 118361088932.785492
a = 3541306.761513; b = 3413087.185842; cout = 119909159121.555862
a = 3541308.193696; b = 3422951.695992; cout = 121652584352.642517
a = 3541309.625879; b = 3432816.206141; cout = 123591364626.052979
a = 3541311.058062; b = 3442680.716290; cout = 125725499941.771835
a = 3541312.490245; b = 3452545.226440; cout = 128054990299.813080
a = 3541313.922428; b = 3462409.736589; cout = 130579835700.175278
