a = 3334018.074881; b = 5938374.998894; cout = 5650073666132.387695
a = 3334019.507064; b = 5948239.509043; cout = 5648788782834.154297
a = 3334020.939247; b = 5958104.019192; cout = 5647699254578.247070
a = 3334022.371430; b = 5967968.529342; cout = 5646805081364.691406
a = 3334023.803613; b = 5977833.039491; cout = 5646106263193.458008
a = 3334025.235796; b = 5987697.549641; cout = 5645602800064.530273
a = 3334026.667979; b = 5997562.059790; cout = 5645294691977.903320
a = 3334028.100162; b = 6007426.569939; cout = 5645181938933.587891
a = 3334029.532345; b = 6017291.080089; cout = 5645264540931.622070
a = 3334030.964528; b = 6027155.590238; cout = 5645542497971.958008
a = 3334032.396711; b = 6037020.100387; cout = 5646015810054.614258
a = 3334033.828894; b = 6046884.610537; cout = 5646684477179.583984
a = 3334035.261077; b = 6056749.120686; cout = 5647548499346.916992
a = 3334036.693260; b = 6066613.630836; cout = 5648607876556.512695
a = 3334034.832111; b = 6076477.812068; cout = 5649950210525.060547
a = 3343892.034146; b = 5810137.799135; cout = 5372592218766.217773
a = 3343893.466329; b = 5820002.309284; cout = 5371604182622.767578
a = 3343894.898512; b = 5829866.819434; cout = 5370811501521.676758
a = 3343896.330695; b = 5839731.329583; cout = 5370214175462.857422
a = 3343897.762878; b = 5849595.839732; cout = 5369812204446.362305
a = 3343899.195061; b = 5859460.349882; cout = 5369605588472.217773
a = 3343900.627244; b = 5869324.860031; cout = 5369594327540.375977
a = 3343902.059427; b = 5879189.370181; cout = 5369778421650.878906
a = 3343903.491610; b = 5889053.880330; cout = 5370157870803.666992
a = 3343904.923793; b = 5898918.390479; cout = 5370732674998.758789
a = 3343906.355976; b = 5908782.900629; cout = 5371502834236.194336
a = 3343907.788159; b = 5918647.410778; cout = 5372468348515.969727
a = 3343909.220342; b = 5928511.920927; cout = 5373629217838.025391
a = 3343910.652525; b = 5938376.431077; cout = 5374985442202.405273
a = 3343912.084708; b = 5948240.941226; cout = 5376537021609.098633
a = 3343913.516891; b = 5958105.451375; cout = 5378283956058.115234
a = 3343914.949074; b = 5967969.961525; cout = 5380226245549.467773
a = 3343913.087924; b = 5977834.142757; cout = 5382442334533.384766
a = 3353765.993411; b = 5681900.599376; cout = 5110161246678.760742
a = 3353767.425594; b = 5691765.109525; cout = 5109470057690.091797
a = 3353768.857777; b = 5701629.619675; cout = 5108974223743.768555
a = 3353770.289960; b = 5711494.129824; cout = 5108673744839.754883
a = 3353771.722143; b = 5721358.639974; cout = 5108568620978.057617
a = 3353773.154326; b = 5731223.150123; cout = 5108658852158.649414
a = 3353774.586509; b = 5741087.660272; cout = 5108944438381.573242
a = 3353776.018691; b = 5750952.170422; cout = 5109425379646.843750
a = 3353777.450874; b = 5760816.680571; cout = 5110101675954.407227
a = 3353778.883057; b = 5770681.190720; cout = 5110973327304.298828
a = 3353780.315240; b = 5780545.700870; cout = 5112040333696.481445
a = 3353781.747423; b = 5790410.211019; cout = 5113302695131.040039
a = 3353783.179606; b = 5800274.721169; cout = 5114760411607.876953
a = 3353784.611789; b = 5810139.231318; cout = 5116413483127.029297
a = 3353786.043972; b = 5820003.741467; cout = 5118261909688.485352
a = 3353787.476155; b = 5829868.251617; cout = 5120305691292.299805
a = 3353788.908338; b = 5839732.761766; cout = 5122544827938.412109
a = 3353790.340521; b = 5849597.271915; cout = 5124979319626.833984
a = 3353791.772704; b = 5859461.782065; cout = 5127609166357.567383
a = 3353793.204887; b = 5869326.292214; cout = 5130434368130.649414
a = 3353791.343738; b = 5879190.473446; cout = 5133524212129.974609
a = 3363639.952675; b = 5553663.399617; cout = 4862780749870.060547
a = 3363641.384858; b = 5563527.909767; cout = 4862386408036.154297
a = 3363642.817041; b = 5573392.419916; cout = 4862187421244.609375
a = 3363644.249224; b = 5583256.930065; cout = 4862183789495.368164
a = 3363645.681407; b = 5593121.440215; cout = 4862375512788.436523
a = 3363647.113590; b = 5602985.950364; cout = 4862762591123.787109
a = 3363648.545773; b = 5612850.460513; cout = 4863345024501.518555
a = 3363649.977956; b = 5622714.970663; cout = 4864122812921.541992
a = 3363651.410139; b = 5632579.480812; cout = 4865095956383.874023
a = 3363652.842322; b = 5642443.990962; cout = 4866264454888.548828
a = 3363654.274505; b = 5652308.501111; cout = 4867628308435.518555
a = 3363655.706688; b = 5662173.011260; cout = 4869187517024.837891
a = 3363657.138871; b = 5672037.521410; cout = 4870942080656.443359
a = 3363658.571054; b = 5681902.031559; cout = 4872891999330.362305
a = 3363660.003237; b = 5691766.541708; cout = 4875037273046.616211
a = 3363661.435420; b = 5701631.051858; cout = 4877377901805.191406
a = 3363662.867603; b = 5711495.562007; cout = 4879913885606.076172
a = 3363664.299786; b = 5721360.072157; cout = 4882645224449.270508
a = 3363665.731969; b = 5731224.582306; cout = 4885571918334.785156
a = 3363667.164152; b = 5741089.092455; cout = 4888693967262.635742
a = 3363668.596335; b = 5750953.602605; cout = 4892011371232.783203
a = 3363670.028518; b = 5760818.112754; cout = 4895524130245.260742
a = 3363671.460701; b = 5770682.622903; cout = 4899232244300.066406
a = 3363669.599552; b = 5780546.804136; cout = 4903195843314.794922
a = 3373513.911940; b = 5425426.199858; cout = 4630450728340.067383
a = 3373515.344123; b = 5435290.710008; cout = 4630353233660.958008
a = 3373516.776306; b = 5445155.220157; cout = 4630451094024.159180
a = 3373518.208489; b = 5455019.730307; cout = 4630744309429.677734
a = 3373519.640672; b = 5464884.240456; cout = 4631232879877.535156
a = 3373521.072855; b = 5474748.750605; cout = 4631916805367.686523
a = 3373522.505038; b = 5484613.260755; cout = 4632796085900.177734
a = 3373523.937221; b = 5494477.770904; cout = 4633870721474.975586
a = 3373525.369404; b = 5504342.281053; cout = 4635140712092.084961
a = 3373526.801587; b = 5514206.791203; cout = 4636606057751.525391
a = 3373528.233770; b = 5524071.301352; cout = 4638266758453.286133
a = 3373529.665953; b = 5533935.811501; cout = 4640122814197.340820
a = 3373531.098136; b = 5543800.321651; cout = 4642174224983.733398
a = 3373532.530319; b = 5553664.831800; cout = 4644420990812.438477
a = 3373533.962502; b = 5563529.341950; cout = 4646863111683.453125
